product_name,permit_number,permit_type,crop,target,purpose,dose,dose_unit,spray_volume,spray_volume_unit,bbch_min,bbch_max,treatment_time,phi,max_treatments,min_interval_days,expiry_date,latest_document,source_pdf,issue_reason
Folicur Solo,24052/1997,alapengedely,petrezse- lyem (levél),"szeptóriás levélfoltosság, lisztharmat",gombaölő szer,0.75-1,l/ha,400-600,l/ha,,,"8-10,0",,1,14,,FolicurSolo_mód_p_20220914.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=328520936es328507592&documentName=FolicurSolo_m%c3%b3d_p_20220914.pdf,missing point 4 row recovered from markdown table audit; source Folicur_Solo__24052-1997__FolicurSolo_mód_p_20220914.md line 382
Folicur Solo,24052/1997,alapengedely,"metélő- hagyma, póréhagy- ma","rozsda, alternáriás levélfoltosság, botrítiszes betegség",gombaölő szer,0.75-1,l/ha,250-500,l/ha,,,"8-10,0",,1,7,,FolicurSolo_mód_p_20220914.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=328520936es328507592&documentName=FolicurSolo_m%c3%b3d_p_20220914.pdf,missing point 4 row recovered from markdown table audit; source Folicur_Solo__24052-1997__FolicurSolo_mód_p_20220914.md line 385
Folicur Solo,24052/1997,alapengedely,"kerti kömény,",lisztharmat,gombaölő szer,0.5-1,l/ha,250-500,l/ha,,,"5,0-10,0",,1,7,,FolicurSolo_mód_p_20220914.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=328520936es328507592&documentName=FolicurSolo_m%c3%b3d_p_20220914.pdf,missing point 4 row recovered from markdown table audit; source Folicur_Solo__24052-1997__FolicurSolo_mód_p_20220914.md line 386
Folicur Solo,24052/1997,alapengedely,"díszfák, díszcserjék","apiognomóniás-, gnomóniás-, levélfoltosság, lisztharmat",gombaölő szer,0.75-1,l/ha,800-1500,l/ha,,,8-10,,2,10,,FolicurSolo_mód_p_20220914.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=328520936es328507592&documentName=FolicurSolo_m%c3%b3d_p_20220914.pdf,missing point 4 row recovered from markdown table audit; source Folicur_Solo__24052-1997__FolicurSolo_mód_p_20220914.md line 470
Folicur Solo,24052/1997,alapengedely,"pázsitok, gyepek, golf- és futball pályák","hópenész, rozsda",gombaölő szer,1,l/ha,300-600,l/ha,,,10ml/100 m2,,2,14,,FolicurSolo_mód_p_20220914.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=328520936es328507592&documentName=FolicurSolo_m%c3%b3d_p_20220914.pdf,missing point 4 row recovered from markdown table audit; source Folicur_Solo__24052-1997__FolicurSolo_mód_p_20220914.md line 471
Folicur Solo,24052/1997,alapengedely,dió,"gombás eredetű levél- és termésfoltosságo k (Gnomonia leptostyla, Alternaria spp. Fusarium spp., Diplodia sp., Phomopsis sp.)",gombaölő szer,0.8-1,l/ha,800-1500,l/ha,,,8-10,,2,14,,FolicurSolo_mód_p_20220914.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=328520936es328507592&documentName=FolicurSolo_m%c3%b3d_p_20220914.pdf,missing point 4 row recovered from markdown table audit; source Folicur_Solo__24052-1997__FolicurSolo_mód_p_20220914.md line 472
"Lamdex Extra (er.név: Karate 2,5 WG)",12412/2002,alapengedely,cukorrépa,"bagolylepkék hernyói, levéltetvek, répabolha, lisztes répabarkó",rovarölő szer,0.3,kg/ha,300-500,l/ha,,,6-10,,2,10,,LamdexExtra_mod_20260518_pub.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=350182043es350186824&documentName=LamdexExtra_mod_20260518_pub.pdf,missing point 4 row recovered from markdown table audit; source Lamdex_Extra_(er.név_Karate_2_5_WG)__12412-2002__LamdexExtra_mod_20260518_pub.md line 384
"Lamdex Extra (er.név: Karate 2,5 WG)",12412/2002,alapengedely,lucerna,lomb- és magkártevők,rovarölő szer,0.3,kg/ha,300-500,l/ha,,,6-10,,3,10,,LamdexExtra_mod_20260518_pub.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=350182043es350186824&documentName=LamdexExtra_mod_20260518_pub.pdf,missing point 4 row recovered from markdown table audit; source Lamdex_Extra_(er.név_Karate_2_5_WG)__12412-2002__LamdexExtra_mod_20260518_pub.md line 386
"Lamdex Extra (er.név: Karate 2,5 WG)",12412/2002,alapengedely,"káposztarepce, fehér mustár","repcebecő- ormányos, repce-fénybogár, levéltetvek, repceszár- ormányos, repcebolha, repcedarázs",rovarölő szer,0.3,kg/ha,300-500,l/ha,,,6-10,,2,10,,LamdexExtra_mod_20260518_pub.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=350182043es350186824&documentName=LamdexExtra_mod_20260518_pub.pdf,missing point 4 row recovered from markdown table audit; source Lamdex_Extra_(er.név_Karate_2_5_WG)__12412-2002__LamdexExtra_mod_20260518_pub.md line 387
"Lamdex Extra (er.név: Karate 2,5 WG)",12412/2002,alapengedely,"kalászosok (búza, árpa, tritikále, rozs, zab)","levéltetvek, vetésfehérítő bogár, gabonapoloska",rovarölő szer,0.3,kg/ha,300-500,l/ha,,,6-10,,2,12,,LamdexExtra_mod_20260518_pub.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=350182043es350186824&documentName=LamdexExtra_mod_20260518_pub.pdf,missing point 4 row recovered from markdown table audit; source Lamdex_Extra_(er.név_Karate_2_5_WG)__12412-2002__LamdexExtra_mod_20260518_pub.md line 388
"Lamdex Extra (er.név: Karate 2,5 WG)",12412/2002,alapengedely,"kukorica (takarmány, vetőmag, csemege)","kukoricamoly, kukoricabogár, bagolylepkék hernyói",rovarölő szer,0.5,kg/ha,300-500,l/ha,,,10-15,,2,10,,LamdexExtra_mod_20260518_pub.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=350182043es350186824&documentName=LamdexExtra_mod_20260518_pub.pdf,missing point 4 row recovered from markdown table audit; source Lamdex_Extra_(er.név_Karate_2_5_WG)__12412-2002__LamdexExtra_mod_20260518_pub.md line 389
"Lamdex Extra (er.név: Karate 2,5 WG)",12412/2002,alapengedely,napraforgó,"levéltetvek, poloskák, bagolylepkék lárvái",rovarölő szer,0.3-0.4,kg/ha,300-500,l/ha,,,6-13,,2,10,,LamdexExtra_mod_20260518_pub.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=350182043es350186824&documentName=LamdexExtra_mod_20260518_pub.pdf,missing point 4 row recovered from markdown table audit; source Lamdex_Extra_(er.név_Karate_2_5_WG)__12412-2002__LamdexExtra_mod_20260518_pub.md line 390
Mycotal,8750/14590-1/2026,alapengedely,"fejes saláta, endívia (hajtatott)",levéltetű fajok,biológiai rovarölő szer,2,kg/ha,1000-2000,l/ha,,,a kártevők első megjelenésekor,,36,7,,Mycotal_eng_20260219.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=348630188es348657234&documentName=Mycotal_eng_20260219.pdf,missing point 4 row recovered from markdown table audit; source Mycotal__8750-14590-1-2026__Mycotal_eng_20260219.md line 280
Mycotal,8750/14590-1/2026,alapengedely,"zöldbab, egyéb hüvellyel együtt fogyasztott zöldségféle (hajtatott)","levéltetű fajok, liszteske fajok, tripsz fajok",biológiai rovarölő szer,1,kg/ha,1000,l/ha,,,a kártevők első megjelenésekor,,36,7,,Mycotal_eng_20260219.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=348630188es348657234&documentName=Mycotal_eng_20260219.pdf,missing point 4 row recovered from markdown table audit; source Mycotal__8750-14590-1-2026__Mycotal_eng_20260219.md line 281
Mycotal,8750/14590-1/2026,alapengedely,"hüvely nélkül fogyasztott bab (fejtett bab, száraz bab) (hajtatott)",levéltetű fajok,biológiai rovarölő szer,1,kg/ha,1000,l/ha,,,a kártevők első megjelenésekor,,36,7,,Mycotal_eng_20260219.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=348630188es348657234&documentName=Mycotal_eng_20260219.pdf,missing point 4 row recovered from markdown table audit; source Mycotal__8750-14590-1-2026__Mycotal_eng_20260219.md line 282
Mycotal,8750/14590-1/2026,alapengedely,"tökfélék ehető héjjal uborka, spárgatök, cukkini (hajtatott)","levéltetű fajok, tripsz fajok",biológiai rovarölő szer,2,kg/ha,1000-2000,l/ha,,,a kártevők első megjelenésekor,,36,7,,Mycotal_eng_20260219.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=348630188es348657234&documentName=Mycotal_eng_20260219.pdf,missing point 4 row recovered from markdown table audit; source Mycotal__8750-14590-1-2026__Mycotal_eng_20260219.md line 283
Mycotal,8750/14590-1/2026,alapengedely,"tojásgyümölcs, chili paprika (hajtatott)",levéltetű fajok,biológiai rovarölő szer,2,kg/ha,1000-2000,l/ha,,,a kártevők első megjelenésekor,,36,7,,Mycotal_eng_20260219.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=348630188es348657234&documentName=Mycotal_eng_20260219.pdf,missing point 4 row recovered from markdown table audit; source Mycotal__8750-14590-1-2026__Mycotal_eng_20260219.md line 284
Mycotal,8750/14590-1/2026,alapengedely,"fejes káposzta (fehér, vörös), kelkáposzta, kínai kel, bimbóskel, fodros kel brokkoli, karfiol (hajtatott)","levéltetű fajok, tripsz fajok, liszteske fajok",biológiai rovarölő szer,2,kg/ha,1000-2000,l/ha,,,a kártevők első megjelenésekor,,36,7,,Mycotal_eng_20260219.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=348630188es348657234&documentName=Mycotal_eng_20260219.pdf,missing point 4 row recovered from markdown table audit; source Mycotal__8750-14590-1-2026__Mycotal_eng_20260219.md line 285
Mycotal,8750/14590-1/2026,alapengedely,retek (hajtatott),tripsz fajok,biológiai rovarölő szer,2,kg/ha,1000,l/ha,,,a kártevők első megjelenésekor,,36,7,,Mycotal_eng_20260219.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=348630188es348657234&documentName=Mycotal_eng_20260219.pdf,missing point 4 row recovered from markdown table audit; source Mycotal__8750-14590-1-2026__Mycotal_eng_20260219.md line 286
Mycotal,8750/14590-1/2026,alapengedely,sárgarépa (hajtatott),"levéltetű fajok, tripsz fajok",biológiai rovarölő szer,2,kg/ha,1000-2000,l/ha,,,a kártevők első megjelenésekor,,36,7,,Mycotal_eng_20260219.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=348630188es348657234&documentName=Mycotal_eng_20260219.pdf,missing point 4 row recovered from markdown table audit; source Mycotal__8750-14590-1-2026__Mycotal_eng_20260219.md line 287
Mycotal,8750/14590-1/2026,alapengedely,fűszernövények (hajtatott),levéltetű fajok,biológiai rovarölő szer,2,kg/ha,1000-2000,l/ha,,,a kártevők első megjelenésekor,,36,7,,Mycotal_eng_20260219.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=348630188es348657234&documentName=Mycotal_eng_20260219.pdf,missing point 4 row recovered from markdown table audit; source Mycotal__8750-14590-1-2026__Mycotal_eng_20260219.md line 288
Mycotal,8750/14590-1/2026,alapengedely,petrezselyem (hajtatott),liszteske fajok,biológiai rovarölő szer,2,kg/ha,1000-2000,l/ha,,,a kártevők első megjelenésekor,,36,7,,Mycotal_eng_20260219.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=348630188es348657234&documentName=Mycotal_eng_20260219.pdf,missing point 4 row recovered from markdown table audit; source Mycotal__8750-14590-1-2026__Mycotal_eng_20260219.md line 289
Mycotal,8750/14590-1/2026,alapengedely,"vágott virágok, vágott zöld, díszcserjék (hajtatott)","levéltetű fajok, tripsz fajok",biológiai rovarölő szer,2,kg/ha,1000-2000,l/ha,,,a kártevők első megjelenésekor,,24,7,,Mycotal_eng_20260219.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=348630188es348657234&documentName=Mycotal_eng_20260219.pdf,missing point 4 row recovered from markdown table audit; source Mycotal__8750-14590-1-2026__Mycotal_eng_20260219.md line 290
Mycotal,8750/14590-1/2026,alapengedely,fás szárú faiskolai növények (hajtatott),tripsz fajok,biológiai rovarölő szer,2,kg/ha,1000-2000,l/ha,,,a kártevők első megjelenésekor,,24,7,,Mycotal_eng_20260219.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=348630188es348657234&documentName=Mycotal_eng_20260219.pdf,missing point 4 row recovered from markdown table audit; source Mycotal__8750-14590-1-2026__Mycotal_eng_20260219.md line 291
Orondis Evo,6700/0043441-2/2024,alapengedely,cukkini szabadföldi,"peronoszpóra, didimellás betegség, kladospóriumos betegség",gombaölő szer,1,l/ha,200-1000,l/ha,51,51,első virágkezde- mény megjelenésétől (BBCH 51) teljes érésig (BBCH 89),,2,7,,OrondisEvo_mod_20251015.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=347992855es347966636&documentName=OrondisEvo_mod_20251015.pdf,missing point 4 row recovered from markdown table audit; source Orondis_Evo__6700-0043441-2-2024__OrondisEvo_mod_20251015.md line 341
Orondis Evo,6700/0043441-2/2024,alapengedely,cukkini hajtatott,"peronoszpóra, didimellás betegség",gombaölő szer,1,l/ha,200-1000,l/ha,11,11,egyleveles állapottól (BBCH 11) teljes érésig (BBCH 89),,2,7,,OrondisEvo_mod_20251015.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=347992855es347966636&documentName=OrondisEvo_mod_20251015.pdf,missing point 4 row recovered from markdown table audit; source Orondis_Evo__6700-0043441-2-2024__OrondisEvo_mod_20251015.md line 342
Orondis Evo,6700/0043441-2/2024,alapengedely,sárgadinnye szabadföldi,kladospóriumos betegség,gombaölő szer,1,l/ha,200-1000,l/ha,51,51,első virágkezde- mény megjelenésétől (BBCH 51) teljes érésig (BBCH 89),,2,7,,OrondisEvo_mod_20251015.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=347992855es347966636&documentName=OrondisEvo_mod_20251015.pdf,missing point 4 row recovered from markdown table audit; source Orondis_Evo__6700-0043441-2-2024__OrondisEvo_mod_20251015.md line 400
Protexio,6300/1957-1/2021,alapengedely,sárgarépa (szabadföldi),alternáriás levélfoltosság,gombaölő szer,8,l/ha,200-500,l/ha,,,16 ml/l víz,,4,5,,Protexio_eng_20210702.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=314856002es314856302&documentName=Protexio_eng_20210702.pdf,missing point 4 row recovered from markdown table audit; source Protexio__6300-1957-1-2021__Protexio_eng_20210702.md line 162
Protexio,6300/1957-1/2021,alapengedely,sárgarépa (szabadföldi),gyökérfekély,gombaölő szer,10,l/ha,200-500,l/ha,,,20 ml/l víz,,1,5,,Protexio_eng_20210702.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=314856002es314856302&documentName=Protexio_eng_20210702.pdf,missing point 4 row recovered from markdown table audit; source Protexio__6300-1957-1-2021__Protexio_eng_20210702.md line 163
Protexio,6300/1957-1/2021,alapengedely,"kabakosok (uborka, cukkini, sárgadinnye, görögdinnye, spárgatök, sütőtök, csillagtök) (szabadföldi)",lisztharmat,gombaölő szer,45-75,l/ha,900-1500,l/ha,,,50 ml/l víz,,6,5,,Protexio_eng_20210702.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=314856002es314856302&documentName=Protexio_eng_20210702.pdf,missing point 4 row recovered from markdown table audit; source Protexio__6300-1957-1-2021__Protexio_eng_20210702.md line 164
Protexio,6300/1957-1/2021,alapengedely,fejessaláta (szabadföldi),szürkepenész (botrítiszes betegség),gombaölő szer,8,l/ha,200-1000,l/ha,,,8 ml/l víz,,6,5,,Protexio_eng_20210702.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=314856002es314856302&documentName=Protexio_eng_20210702.pdf,missing point 4 row recovered from markdown table audit; source Protexio__6300-1957-1-2021__Protexio_eng_20210702.md line 236
Protexio,6300/1957-1/2021,alapengedely,szamóca (szabadföldi),szürkepenész (botrítiszes betegség),gombaölő szer,8,l/ha,200-1000,l/ha,,,8 ml/l víz,,6,5,,Protexio_eng_20210702.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=314856002es314856302&documentName=Protexio_eng_20210702.pdf,missing point 4 row recovered from markdown table audit; source Protexio__6300-1957-1-2021__Protexio_eng_20210702.md line 238
Protexio,6300/1957-1/2021,alapengedely,dísznövények (szabadföldi),lisztharmat,gombaölő szer,45-75,l/ha,900-1500,l/ha,,,50 ml/l víz,,6,5,,Protexio_eng_20210702.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=314856002es314856302&documentName=Protexio_eng_20210702.pdf,missing point 4 row recovered from markdown table audit; source Protexio__6300-1957-1-2021__Protexio_eng_20210702.md line 239
Raptol HP,6700/0012084-2/2024,alapengedely,fejes saláta (hajtatott),"levéltetvek, lombrágó hernyók",rovarölő szer,0.6,l/ha,300-800,l/ha,12,49,2 leveles állapot ‒ végleges levéltömeg (BBCH 12-49),,2,7,,Raptol HP_eng_0012084_2_20241119_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=346291232es346268493&documentName=Raptol+HP_eng_0012084_2_20241119_publikus.pdf,missing point 4 row recovered from markdown table audit; source Raptol_HP__6700-0012084-2-2024__Raptol_HP_eng_0012084_2_20241119_publikus.md line 221
Raptol HP,6700/0012084-2/2024,alapengedely,"metélő petrezselyem, kapor, lestyán, turbolya, metélőhagyma, medvehagyma, citromfű, bazsalikom, zsálya, majoránna, kakukkfű, borsmenta, szurokfű (hajtatott)","levéltetvek, tripszek",rovarölő szer,0.6,l/ha,300-800,l/ha,12,49,2 leveles állapot ‒ végleges levéltömeg (BBCH 12-49),,2,5,,Raptol HP_eng_0012084_2_20241119_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=346291232es346268493&documentName=Raptol+HP_eng_0012084_2_20241119_publikus.pdf,missing point 4 row recovered from markdown table audit; source Raptol_HP__6700-0012084-2-2024__Raptol_HP_eng_0012084_2_20241119_publikus.md line 223
Raptol HP,6700/0012084-2/2024,alapengedely,"fejes saláta, jégsaláta, endívia, batávia saláta, lollo saláta, római saláta, tépő saláta (szabadföldi)","levéltetvek, lombrágó hernyók",rovarölő szer,0.6,l/ha,300-800,l/ha,12,49,2 leveles állapot ‒ végleges levéltömeg (BBCH 12-49),,2,5,,Raptol HP_eng_0012084_2_20241119_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=346291232es346268493&documentName=Raptol+HP_eng_0012084_2_20241119_publikus.pdf,missing point 4 row recovered from markdown table audit; source Raptol_HP__6700-0012084-2-2024__Raptol_HP_eng_0012084_2_20241119_publikus.md line 435
Raptol HP,6700/0012084-2/2024,alapengedely,"fejes káposzta, kelkáposzta, kínai kel, karfiol, karalábé (szabadföldi)","levéltetvek (kivéve káposzta- levéltetű), lombrágó hernyók, repcedarázs, földi bolhák, ormányos- bogarak",rovarölő szer,0.6,l/ha,300-800,l/ha,12,49,2 leveles állapot ‒ végleges fejméret (BBCH 12-49),,2,5,,Raptol HP_eng_0012084_2_20241119_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=346291232es346268493&documentName=Raptol+HP_eng_0012084_2_20241119_publikus.pdf,missing point 4 row recovered from markdown table audit; source Raptol_HP__6700-0012084-2-2024__Raptol_HP_eng_0012084_2_20241119_publikus.md line 436
Raptol HP,6700/0012084-2/2024,alapengedely,"zöldbab, szárazbab, csillagfürt (szabadföldi)",levéltetvek,rovarölő szer,0.6,l/ha,300-800,l/ha,50,70,első virágbimbók megjelenése ‒ hüvely- képződés kezdete (BBCH 50-70),,2,5,,Raptol HP_eng_0012084_2_20241119_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=346291232es346268493&documentName=Raptol+HP_eng_0012084_2_20241119_publikus.pdf,missing point 4 row recovered from markdown table audit; source Raptol_HP__6700-0012084-2-2024__Raptol_HP_eng_0012084_2_20241119_publikus.md line 553
Raptol HP,6700/0012084-2/2024,alapengedely,"sárgarépa, petrezselyem, pasztinák, zeller, retek, cékla, karórépa, torma, csicsóka, cikória (szabadföldi)","levéltetvek, tripszek",rovarölő szer,0.6,l/ha,300-800,l/ha,12,49,2 leveles állapot ‒ gyökér- növekedés vége (BBCH 12-49),,2,5,,Raptol HP_eng_0012084_2_20241119_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=346291232es346268493&documentName=Raptol+HP_eng_0012084_2_20241119_publikus.pdf,missing point 4 row recovered from markdown table audit; source Raptol_HP__6700-0012084-2-2024__Raptol_HP_eng_0012084_2_20241119_publikus.md line 556
Raptol HP,6700/0012084-2/2024,alapengedely,"metélő petrezselyem, kapor, lestyán, turbolya, metélőhagyma, medvehagyma, citromfű, bazsalikom, zsálya, majoránna, kakukkfű, borsmenta, szurokfű (szabadföldi)","levéltetvek, tripszek, lombrágó hernyók",rovarölő szer,0.6,l/ha,300-800,l/ha,12,49,2 leveles állapot ‒ végleges levéltömeg (BBCH 12-49),,2,5,,Raptol HP_eng_0012084_2_20241119_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=346291232es346268493&documentName=Raptol+HP_eng_0012084_2_20241119_publikus.pdf,missing point 4 row recovered from markdown table audit; source Raptol_HP__6700-0012084-2-2024__Raptol_HP_eng_0012084_2_20241119_publikus.md line 557
Raptol HP,6700/0012084-2/2024,alapengedely,"spenót, mángold (szabadföldi)",levéltetvek,rovarölő szer,0.6,l/ha,300-800,l/ha,15,49,5 leveles állapot ‒ végleges levéltömeg (BBCH 15-49),,2,5,,Raptol HP_eng_0012084_2_20241119_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=346291232es346268493&documentName=Raptol+HP_eng_0012084_2_20241119_publikus.pdf,missing point 4 row recovered from markdown table audit; source Raptol_HP__6700-0012084-2-2024__Raptol_HP_eng_0012084_2_20241119_publikus.md line 558
Raptol HP,6700/0012084-2/2024,alapengedely,"zöldségfélék palántanevelés (paprika, paradicsom, tojásgyümölcs (padlizsán), görögdinnye, sárgadinnye, uborka, sütőtök, spárgatök, patisszon (csillagtök), cukkini, zöldbab, zöldborsó, cukorborsó, lóbab, szárazbab, szárazborsó, lencse, csicseriborsó, sárgarépa, petrezselyem (gyökér), pasztinák, vajrépa, zeller (gumó), torma, retek, cékla, kerekrépa, karórépa, csicsóka, feketegyökér, édesburgonya, vöröshagyma, újhagyma (zöldhagyma), fokhagyma, póréhagyma, gyöngyhagyma, sarjadékhagyma, mogyoróhagyma (salottahagyma), brokkoli, bimbóskel, fejes káposzta, kelkáposzta, karfiol, kínai kel, karalábé, borsmustár (rukkola), fejes saláta, jégsaláta, endívia, spenót, sóska, mángold, petrezselyem (levél), zeller (levél), kapor, metélőhagyma, cikória, galambbegysaláta","levéltetvek, tripszek, lombrágó hernyók",rovarölő szer,0.6,l/ha,300-800,l/ha,11,16,1 leveles állapot ‒ 6 leveles állapot (BBCH 11-16),,2,5,,Raptol HP_eng_0012084_2_20241119_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=346291232es346268493&documentName=Raptol+HP_eng_0012084_2_20241119_publikus.pdf,missing point 4 row recovered from markdown table audit; source Raptol_HP__6700-0012084-2-2024__Raptol_HP_eng_0012084_2_20241119_publikus.md line 1297
Sulfolac 80 WG (er.név: Eurokén 2000 80 WG),35383/2001,alapengedely,"kalászosok (őszi búza, őszi- és tavaszi árpa, rozs, zab, tritikále)",lisztharmat,gombaölő szer,5,kg/ha,200-300,l/ha,25,25,5 mellékhajtásos állapottól (BBCH 25) virágzás végéig (BBCH 69),,2,7,,Sulfolac80WG_mod_20251125.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=348142315es348148805&documentName=Sulfolac80WG_mod_20251125.pdf,missing point 4 row recovered from markdown table audit; source Sulfolac_80_WG_(er.név_Eurokén_2000_80_WG)__35383-2001__Sulfolac80WG_mod_20251125.md line 222
Sulfolac 80 WG (er.név: Eurokén 2000 80 WG),35383/2001,alapengedely,"almatermésűek (alma, körte, birs, naspolya)",lisztharmat,gombaölő szer,7.5,kg/ha,600-1200,l/ha,10,10,egérfüles állapottól (BBCH 10) virágzás kezdetétig (BBCH 61),,8,7,,Sulfolac80WG_mod_20251125.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=348142315es348148805&documentName=Sulfolac80WG_mod_20251125.pdf,missing point 4 row recovered from markdown table audit; source Sulfolac_80_WG_(er.név_Eurokén_2000_80_WG)__35383-2001__Sulfolac80WG_mod_20251125.md line 224
Sulfolac 80 WG (er.név: Eurokén 2000 80 WG),35383/2001,alapengedely,"csonthéjasok (cseresznye, meggy, szilva, őszibarack, kajszi)","lisztharmat, levél-likasztó gombák",gombaölő szer,7.5,kg/ha,600-1200,l/ha,10,10,első levelek kiemelkedésétől (BBCH 10) virágzás kezdetétig (BBCH 61),,8,7,,Sulfolac80WG_mod_20251125.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=348142315es348148805&documentName=Sulfolac80WG_mod_20251125.pdf,missing point 4 row recovered from markdown table audit; source Sulfolac_80_WG_(er.név_Eurokén_2000_80_WG)__35383-2001__Sulfolac80WG_mod_20251125.md line 226
Sulfolac 80 WG (er.név: Eurokén 2000 80 WG),35383/2001,alapengedely,"szőlő (bor-, csemege-)",lisztharmat,gombaölő szer,5-7.5,kg/ha,600-1200,l/ha,12,12,kisleveles állapottól (BBCH 12) virágzás kezdetétig (BBCH 61),,8,7,,Sulfolac80WG_mod_20251125.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=348142315es348148805&documentName=Sulfolac80WG_mod_20251125.pdf,missing point 4 row recovered from markdown table audit; source Sulfolac_80_WG_(er.név_Eurokén_2000_80_WG)__35383-2001__Sulfolac80WG_mod_20251125.md line 308
Sulfolac 80 WG (er.név: Eurokén 2000 80 WG),35383/2001,alapengedely,"köszméte, ribiszke (piros, fekete), málna, szeder, bodza",lisztharmat,gombaölő szer,7,kg/ha,500-1500,l/ha,31,31,hajtásnövekedés kezdetétől (BBCH 31) virágzás kezdetétig (BBCH 61),,4,7,,Sulfolac80WG_mod_20251125.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=348142315es348148805&documentName=Sulfolac80WG_mod_20251125.pdf,missing point 4 row recovered from markdown table audit; source Sulfolac_80_WG_(er.név_Eurokén_2000_80_WG)__35383-2001__Sulfolac80WG_mod_20251125.md line 311
